OccID,Latitude,Longitude,CountryID_DisplayEng,PROVINCE
130030,59,-40,CANADA,
129829,42.93333333,-51,CANADA,
129560,48.95,-130.8,CANADA,
129368,51,-41,CANADA,
129044,55.83333333,-51,CANADA,
128953,61,-40,CANADA,
128444,56,-40,INTERNATIONAL WATERS,
128282,35.76527778,140.3855556,JAPAN,
127722,55,-32,CANADA,
127045,51.46666667,-45.68333333,CANADA,
126301,42.13333333,-63.41666667,CANADA,
126222,50,-50,CANADA,
125783,55.33333333,-43,CANADA,
125701,56,-33,INTERNATIONAL WATERS,
125535,59.5,-45,CANADA,
125459,48,-50,CANADA,
125163,13.07472222,-59.4925,BARBADOS,
125100,61,-40,CANADA,
123777,53,-43.75,INTERNATIONAL WATERS,
123672,52,-38,CANADA,
123442,48,-50,INTERNATIONAL WATERS,
123159,19.43333333,-99.06666667,MEXICO,
122992,59,-49,ICELAND,
122917,4.7,-74.13333333,COLOMBIA,
122867,50,-50,INTERNATIONAL WATERS,
122578,53.42138889,-6.27,IRELAND,
122150,50,-145,INTERNATIONAL WATERS,
121977,56.78333333,-33,CANADA,
121967,54,-50,CANADA,
121733,55,-40,CANADA,
121456,55,-45,CANADA,
121323,51.75,-44.4,CANADA,
121292,-10,-140,INTERNATIONAL WATERS,
121087,52.7,-8.91666667,IRELAND,
120706,23.41666667,-46.46666667,BRAZIL,
120684,38.71666667,-9.13333333,PORTUGAL,
120542,60.53333333,-28.41666667,INTERNATIONAL WATERS,
120360,47,-51,INTERNATIONAL WATERS,
120190,35.76666667,140.3833333,JAPAN,
120074,60.41666667,-53.45,INTERNATIONAL WATERS,
119922,46.66666667,-42.5,INTERNATIONAL WATERS,
119845,55,-47,CANADA,
119764,0,-47,CANADA,
119292,46,-30,INTERNATIONAL WATERS,
119183,48,-38.16666667,CANADA,
119127,48,-45,INTERNATIONAL WATERS,
118442,25.03888889,-77.46611111,BAHAMAS,
118391,50,-30,CANADA,
116099,0.9,-40,INTERNATIONAL WATERS,
115894,25.03333333,-77.46666667,BAHAMAS,
115403,53.86666667,-54.96666667,INTERNATIONAL WATERS,
114779,53.5,-35,INTERNATIONAL WATERS,
114633,59,-40,INTERNATIONAL WATERS,
114127,62.66666667,-40,INTERNATIONAL WATERS,
114027,50,-50,INTERNATIONAL WATERS,
113867,60.41666667,-38.63333333,INTERNATIONAL WATERS,
113607,48,-50,INTERNATIONAL WATERS,
112927,44.66666667,-55,INTERNATIONAL WATERS,
112612,50,-50,INTERNATIONAL WATERS,
112411,58,-30,INTERNATIONAL WATERS,
112130,40,-51,INTERNATIONAL WATERS,
111720,48,-50,INTERNATIONAL WATERS,
111557,61.16666667,-45.41666667,CANADA,
111475,25.03888889,-77.46611111,BAHAMAS,
111350,56,-35,INTERNATIONAL WATERS,
109842,52,-50,CANADA,
109776,50,-50,INTERNATIONAL WATERS,
109588,56.31666667,-58.08333333,INTERNATIONAL WATERS,
109232,53.08333333,-54.08333333,CANADA,
109216,52,-50,CANADA,
109194,50,-50,CANADA,
107821,52,-51,CANADA,
107320,57,-50,CANADA,
106969,63,-40,INTERNATIONAL WATERS,
106857,48,-50,INTERNATIONAL WATERS,
106506,56,-40,CANADA,
106043,44,-50,CANADA,
104743,53.86666667,-54.96666667,INTERNATIONAL WATERS,
103788,60,-40,INTERNATIONAL WATERS,
103622,51,-40,INTERNATIONAL WATERS,
102734,74.95,-125,CANADA,
102584,48,-30,CANADA,
101884,60,-30,INTERNATIONAL WATERS,
101821,57,-46,INTERNATIONAL WATERS,
101578,51,-40,INTERNATIONAL WATERS,
101400,60,-40,INTERNATIONAL WATERS,
101365,51,-42,INTERNATIONAL WATERS,
101240,51,-40,INTERNATIONAL WATERS,
100771,52,-35,CANADA,
100396,12.0561,-61.7488,GRENADA,
99869,51,-32,INTERNATIONAL WATERS,
99819,65,-60,INTERNATIONAL WATERS,
99526,56,-59,CANADA,
99525,53.21666667,-50.8,CANADA,
99406,47,-37,INTERNATIONAL WATERS,
99350,50.5,-45,INTERNATIONAL WATERS,
99145,62,-44,INTERNATIONAL WATERS,
98981,55.55,-49.53333333,CANADA,
98955,19.4326,-99.1332,MEXICO,
98799,45,-50,CANADA,
97780,47.5,-47.83333333,CANADA,
97134,47,-40,INTERNATIONAL WATERS,
96865,52,-50,INTERNATIONAL WATERS,
96556,56,-35,CANADA,
96553,50.5,-30,CANADA,
95858,21,-86.75,MEXICO,
95854,54,-50,INTERNATIONAL WATERS,
95661,18,-70,DOMINICAN REPUBLIC,
95580,48,-45,CANADA,
95197,54,-30,CANADA,
94800,53.33333333,-34.16666667,CANADA,
94627,57,-36,CANADA,
94615,60,-45,CANADA,
94434,51.36666667,-47.66666667,INTERNATIONAL WATERS,
94298,50,-30,CANADA,
94281,61,-40,CANADA,
94148,35,-8,PORTUGAL,
94123,44.83333333,-43.08333333,INTERNATIONAL WATERS,
93071,48.5,-32.66666667,INTERNATIONAL WATERS,
93021,51,-30,CANADA,
92821,47,-44,INTERNATIONAL WATERS,
92624,53,-45,INTERNATIONAL WATERS,
92526,47.75,-36,CANADA,
91559,30,-40,INTERNATIONAL WATERS,
91534,10.06666667,100.4166667,THAILAND,
91521,49,-50,CANADA,
91363,61.75,-10.66666667,TRINIDAD AND TOBAGO,
91210,57,-54,INTERNATIONAL WATERS,
90732,48,-50,INTERNATIONAL WATERS,
90619,48,-50,CANADA,
89988,59,-40,INTERNATIONAL WATERS,
89610,43.13333333,-55.76666667,INTERNATIONAL WATERS,
89428,32,-65,BERMUDA,
89414,51,-40,INTERNATIONAL WATERS,
89361,48.16666667,-39,INTERNATIONAL WATERS,
89122,31.58333333,-20.75,MACEDONIA,
89018,62.5,-33.5,INTERNATIONAL WATERS,
88689,25.033,121.5654,TAIWAN,
88465,52,-40,INTERNATIONAL WATERS,
88384,13.7563,100.5018,THAILAND,
87978,50.5,-47,INTERNATIONAL WATERS,
87948,44.55,-55.48333333,INTERNATIONAL WATERS,
87628,51.5,-48.5,CANADA,
87193,52.52,13.405,GERMANY,
86589,41.35,-66,INTERNATIONAL WATERS,
86378,62.75,-35,INTERNATIONAL WATERS,
84981,37.46666667,42.66666667,AUSTRALIA,
84710,43.5,-63.5,INTERNATIONAL WATERS,
84517,56.21666667,-55.96666667,INTERNATIONAL WATERS,
84039,54.66666667,-37.71666667,INTERNATIONAL WATERS,
84022,52.66666667,-9,IRELAND,
83141,48,-50,INTERNATIONAL WATERS,
82857,62,-30,INTERNATIONAL WATERS,
82670,43.55,-67,INTERNATIONAL WATERS,
82158,54,-40,INTERNATIONAL WATERS,
81769,60,-40,INTERNATIONAL WATERS,
81721,59,-50,INTERNATIONAL WATERS,
81649,53,-50,INTERNATIONAL WATERS,
81583,49,-47,INTERNATIONAL WATERS,
81485,43.46666667,-42.03333333,CANADA,
81248,46.78333333,-43,INTERNATIONAL WATERS,
80823,53,-31,INTERNATIONAL WATERS,
80808,48,-40,INTERNATIONAL WATERS,
80799,52.66666667,-54.8,INTERNATIONAL WATERS,
80023,60.5,-56,INTERNATIONAL WATERS,
79608,57,-40,INTERNATIONAL WATERS,
79522,39.0392,125.7625,DEM PEOPLE'S REP KOREA,
78865,51.5,-45,INTERNATIONAL WATERS,
78840,50,-50,INTERNATIONAL WATERS,
78631,50,-50,INTERNATIONAL WATERS,
78092,48.13333333,-38.83333333,INTERNATIONAL WATERS,
78033,55,-50,INTERNATIONAL WATERS,
77684,66,-30,ICELAND,
77188,49,-40,INTERNATIONAL WATERS,
76896,46,-50,INTERNATIONAL WATERS,
75177,51,-33,INTERNATIONAL WATERS,
74674,51,-40,INTERNATIONAL WATERS,
74411,48.83333333,-45,INTERNATIONAL WATERS,
73864,53,-45.16666667,INTERNATIONAL WATERS,
73374,40,-60,INTERNATIONAL WATERS,
73253,48.43333333,-38.81666667,INTERNATIONAL WATERS,
73175,52,-8.5,IRELAND,
72199,14.58333333,60,FRANCE,
72122,-15,54,UNITED ARAB EMIRATES,
72118,61,-40,INTERNATIONAL WATERS,
72049,54,-52.83333333,INTERNATIONAL WATERS,
69020,54,-32,INTERNATIONAL WATERS,
67991,48,-40,INTERNATIONAL WATERS,
67464,46,-50,INTERNATIONAL WATERS,
67419,35.6895,139.6917,JAPAN,
67226,46,-40,INTERNATIONAL WATERS,
67064,43,-40,INTERNATIONAL WATERS,
66580,47,-50,INTERNATIONAL WATERS,
66551,45.9,-50,INTERNATIONAL WATERS,
66505,55,-45,INTERNATIONAL WATERS,
66266,52,-43,INTERNATIONAL WATERS,
66041,48.5,-25,INTERNATIONAL WATERS,
65984,55,-40,INTERNATIONAL WATERS,
65752,47.05,-50,INTERNATIONAL WATERS,
65566,45,-50,INTERNATIONAL WATERS,
65372,56.83333333,-58,INTERNATIONAL WATERS,
65271,59,-50,INTERNATIONAL WATERS,
63594,12.5,-59.5,BARBADOS,
63544,13.7563,100.5018,THAILAND,
63542,65.68333333,-51.25,GREENLAND,
63280,52,-50,INTERNATIONAL WATERS,
63270,45,-48,INTERNATIONAL WATERS,
63254,55,-30,INTERNATIONAL WATERS,
63239,54,-45,INTERNATIONAL WATERS,
63235,56.66666667,-58,INTERNATIONAL WATERS,
63216,59.5,-46.5,INTERNATIONAL WATERS,
63212,50.83333333,-32,INTERNATIONAL WATERS,
63206,50,-40,INTERNATIONAL WATERS,
63182,49,-50,INTERNATIONAL WATERS,
63113,61,-40,GREENLAND,
63097,56.5,-53,INTERNATIONAL WATERS,
63086,57,-55.5,INTERNATIONAL WATERS,
63081,62,-37,GREENLAND,
63062,63,-50,GREENLAND,
62468,18,-70,DOMINICAN REPUBLIC,
61804,12,-76.8,JAMAICA,
61578,32.65,-77.88333333,INTERNATIONAL WATERS,
61214,43.63333333,-35.58333333,INTERNATIONAL WATERS,
61198,47,-34,INTERNATIONAL WATERS,
61186,52,-44,INTERNATIONAL WATERS,
61182,48.83333333,-44.83333333,INTERNATIONAL WATERS,
61167,52.5,-35,INTERNATIONAL WATERS,
61166,60,-50,INTERNATIONAL WATERS,
61151,62.3,-56,GREENLAND,
61149,51,-40,INTERNATIONAL WATERS,
61147,61,-60,GREENLAND,
61133,50.5,-30,INTERNATIONAL WATERS,
61126,52,-54,INTERNATIONAL WATERS,
61115,60.5,-55.66666667,INTERNATIONAL WATERS,
61084,47.5,-49.33333333,INTERNATIONAL WATERS,
61044,61,-40,GREENLAND,
60964,55.5,-45,INTERNATIONAL WATERS,
60421,30,-71.75,INTERNATIONAL WATERS,
59668,62,-62,GREENLAND,
59546,64.13333333,-21.95,ICELAND,
59274,54,-39,INTERNATIONAL WATERS,
59262,48.28333333,-46.26666667,INTERNATIONAL WATERS,
59209,55,-40,INTERNATIONAL WATERS,
59183,50,-38,INTERNATIONAL WATERS,
59160,51,-40,INTERNATIONAL WATERS,
59151,60.75,-41.33333333,INTERNATIONAL WATERS,
59150,52.16666667,-54.91666667,INTERNATIONAL WATERS,
59131,53,-42,INTERNATIONAL WATERS,
59126,48.16666667,-40,INTERNATIONAL WATERS,
59114,48.16666667,-40,INTERNATIONAL WATERS,
59109,54.9,-50,INTERNATIONAL WATERS,
59100,47.83333333,-51,INTERNATIONAL WATERS,
59050,52,-40,INTERNATIONAL WATERS,
59031,57,-30,INTERNATIONAL WATERS,
59022,61,-55,INTERNATIONAL WATERS,
58732,48,-50,INTERNATIONAL WATERS,
58630,54.71666667,-33.78333333,INTERNATIONAL WATERS,
58592,48,-50,INTERNATIONAL WATERS,
58501,25,-140,INTERNATIONAL WATERS,
57823,53.3498,-6.2603,IRELAND,
57587,56,-45,INTERNATIONAL WATERS,
57541,52.75,-33.2,INTERNATIONAL WATERS,
57525,52,-40,INTERNATIONAL WATERS,
57497,49.26666667,-40,INTERNATIONAL WATERS,
57495,49,-40,INTERNATIONAL WATERS,
57367,61,-40,GREENLAND,
57354,46.5,-46,INTERNATIONAL WATERS,
56114,46.53333333,-55.68333333,FRANCE,
56108,57,-40,INTERNATIONAL WATERS,
56107,58,-30,INTERNATIONAL WATERS,
56105,45,-50,INTERNATIONAL WATERS,
56104,47,-50,INTERNATIONAL WATERS,
56100,51.5,-52.5,INTERNATIONAL WATERS,
56095,51,-53,INTERNATIONAL WATERS,
56057,54,-21,INTERNATIONAL WATERS,
55031,39.9208,32.8541,TURKEY,
54872,58,-50,INTERNATIONAL WATERS,
54851,49.26666667,-40,INTERNATIONAL WATERS,
54830,49,-30,INTERNATIONAL WATERS,
54783,54.58333333,-56,INTERNATIONAL WATERS,
51580,69.91666667,-132.8333333,CANADA,
50856,64.1835,-51.7216,GREENLAND,
47441,10.96666667,-3,USSR,
158898,4.70305556,-74.13833333,COLOMBIA,
158730,50,-145,INTERNATIONAL WATERS,
158487,48,-50,INTERNATIONAL WATERS,
158412,48.84972222,-51.99972222,CANADA,
158327,50,-145,INTERNATIONAL WATERS,
158238,57.11666667,-30,CANADA,
157934,50,-145,INTERNATIONAL WATERS,
157899,64.38333333,-56.5,CANADA,
157679,52.70194444,-8.92472222,IRELAND,
157615,53.1027,-25.324,INTERNATIONAL WATERS,
157032,21.77388889,-72.26861111,TURKS & CAICOS IS (BRITISH OVERSEAS TERRITORY),
157017,19.4326,-99.1332,MEXICO,
156927,37.46916667,126.4505556,"KOREA, REPUBLIC OF",
156619,50,-45,CANADA,
156605,37.01444444,-7.96583333,PORTUGAL,
156588,30.49640556,-74.05727222,INTERNATIONAL WATERS,
