"REF_DATE","GEO","DGUID","Screened traffic","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-02","Winnipeg/James Armstrong Richardson International, Manitoba","","Transborder sector passengers","Number","223","units","0","v1573797658","163.3","23630","","","","0"
"2019-02","Winnipeg/James Armstrong Richardson International, Manitoba","","Other International sector passengers","Number","223","units","0","v1573797659","163.4","23695","","","","0"
"2019-02","Winnipeg/James Armstrong Richardson International, Manitoba","","Non-passengers","Number","223","units","0","v1573797660","163.5","1491","","","","0"
"2019-02","Calgary International, Alberta","","Total screened traffic","Number","223","units","0","v1573797626","13.1","470014","","","","0"
"2019-02","Calgary International, Alberta","","Total passengers","Number","223","units","0","v1577191371","13.6","464983","","","","0"
"2019-02","Calgary International, Alberta","","Domestic sector passengers","Number","223","units","0","v1573797627","13.2","268004","","","","0"
"2019-02","Calgary International, Alberta","","Transborder sector passengers","Number","223","units","0","v1573797628","13.3","135687","","","","0"
"2019-02","Calgary International, Alberta","","Other International sector passengers","Number","223","units","0","v1573797629","13.4","61292","","","","0"
"2019-02","Calgary International, Alberta","","Non-passengers","Number","223","units","0","v1573797630","13.5","5031","","","","0"
"2019-02","Edmonton International, Alberta","","Total screened traffic","Number","223","units","0","v1573797636","52.1","274005","","","","0"
"2019-02","Edmonton International, Alberta","","Total passengers","Number","223","units","0","v1577191373","52.6","267890","","","","0"
"2019-02","Edmonton International, Alberta","","Domestic sector passengers","Number","223","units","0","v1573797637","52.2","189567","","","","0"
"2019-02","Edmonton International, Alberta","","Transborder sector passengers","Number","223","units","0","v1573797638","52.3","51479","","","","0"
"2019-02","Edmonton International, Alberta","","Other International sector passengers","Number","223","units","0","v1573797639","52.4","26844","","","","0"
"2019-02","Edmonton International, Alberta","","Non-passengers","Number","223","units","0","v1573797640","52.5","6115","","","","0"
"2019-02","Vancouver International, British Columbia","","Total screened traffic","Number","223","units","0","v1573797661","169.1","742278","","","","0"
"2019-02","Vancouver International, British Columbia","","Total passengers","Number","223","units","0","v1577191378","169.6","731326","","","","0"
"2019-02","Vancouver International, British Columbia","","Domestic sector passengers","Number","223","units","0","v1573797662","169.2","306549","","","","0"
"2019-02","Vancouver International, British Columbia","","Transborder sector passengers","Number","223","units","0","v1573797663","169.3","233772","","","","0"
"2019-02","Vancouver International, British Columbia","","Other International sector passengers","Number","223","units","0","v1573797664","169.4","191005","","","","0"
