OccID,OccNo,AcID,SurvivableEnum_DisplayEng
155816,A22Q0047,53474,Yes
155816,A22Q0047,69484,Yes
155811,A22Q0045,68252,Yes
155810,A22Q0044,66670,Yes
155808,A22Q0043,69482,Yes
155808,A22Q0043,69481,Yes
155800,A21P0148,69478,Yes
155794,A22Q0042,69469,Yes
155783,A22C0027,69464,No
155782,A22P0032,68379,Yes
155780,A22P0030,62001,Yes
155764,A22O0049,69200,Yes
155762,A22W0027,69445,Yes
155760,A22P0028,56704,Yes
155756,A22O0048,8895,Yes
155743,A22O0046,69432,No
155715,A22P0024,53777,Yes
155715,A22P0024,53777,Yes
155710,A22P0023,69410,No
155709,A22P0022,58432,Yes
155706,A22Q0031,69543,Yes
155684,A22P0021,69429,Yes
155678,A22P0020,69394,Yes
155678,A22P0020,69394,Yes
155669,A22O0033,69396,Yes
155659,A22Q0029,46166,Yes
155654,A21P0147,69365,Yes
155653,A22P0018,69365,Yes
155645,A22P0017,69359,Yes
155642,A22P0016,69357,Yes
155640,A22Q0027,36378,Yes
155637,A22P0015,69353,Yes
155632,A22C0016,69349,
155632,A22C0016,69349,
155632,A22C0016,69349,
155632,A22C0016,69349,
155632,A22C0016,69349,
155632,A22C0016,69349,
155632,A22C0016,69349,
155632,A22C0016,69349,
155632,A22C0016,69349,
155632,A22C0016,69349,
155632,A22C0016,69349,
155632,A22C0016,69349,
155610,A21P0146,67259,Yes
155603,A22Q0023,66773,Yes
155598,A22Q0022,67705,Yes
155595,A22Q0021,69332,Yes
155592,A22Q0020,69324,Yes
155588,A22Q0019,60143,Yes
155586,A22Q0018,69321,Yes
155585,A22Q0017,69320,Yes
155583,A22Q0016,52891,Yes
155583,A22Q0016,69257,Yes
155579,A21P0145,63587,Yes
155575,A22P0013,69317,Yes
155574,A22P0012,69316,Yes
155566,A22Q0014,69302,Yes
155561,A22P0011,69313,Yes
155560,A22Q0011,47226,Yes
155560,A22Q0011,59294,Yes
155557,A22P0010,69307,Yes
155543,A21P0144,69279,Yes
155542,A21P0143,67259,Yes
155540,A22Q0009,64791,Yes
155506,A22W0005,69245,Yes
155494,A22O0005,69242,Yes
155492,A22C0006,69235,
155475,A22P0003,69234,Yes
155469,A22P0002,69238,Yes
155465,A22P0001,67900,Yes
155452,A21P0142,69215,Yes
155450,A21P0141,69202,Yes
155445,A21Q0138,64475,Yes
155444,A21P0140,32611,Yes
155441,A21Q0137,56780,Yes
155440,A21Q0136,66773,Yes
155426,A21P0138,69185,Yes
155410,A21Q0131,54552,Yes
155404,A21P0137,32222,Yes
155402,A21P0136,69183,Yes
155393,A21C0116,69226,Yes
155393,A21C0116,69226,Yes
155393,A21C0116,69226,Yes
155386,A21P0135,69176,Yes
155360,A21A0037,69150,No
155352,A21O0128,69138,Yes
155341,A21O0126,69130,Yes
155340,A21O0125,69129,Unknown
155339,A21P0128,69123,Yes
155338,A21Q0122,69128,Yes
155335,A21Q0121,57531,Yes
155331,A21P0127,66998,Yes
155327,A21P0126,43112,Yes
155327,A21P0126,66736,Yes
155326,A21Q0120,54806,Yes
155324,A21Q0119,69122,Yes
155316,A21Q0118,69114,Yes
155307,A21P0124,69110,No
155284,A21P0123,69087,Yes
155284,A21P0123,69087,Yes
155283,A21P0122,69088,Yes
155278,A21Q0113,39060,Yes
155277,A21Q0112,45335,Yes
155276,A21W0098,69079,Yes
155275,A21Q0111,69081,Yes
155263,A21A0034,6382,Yes
155239,A21P0114,21781,Yes
155238,A21P0113,3842,Yes
155233,A21P0112,69076,Yes
155231,A21W0093,69045,Yes
155225,A21P0111,69107,Yes
155225,A21P0111,69107,Yes
155225,A21P0111,69107,Yes
