REF_DATE,GEO,Screened traffic,VALUE
Apr-19,"Total of eight largest airports, Canada",Other International sector passengers,1136927
Apr-19,"Total of eight largest airports, Canada",Non-passengers,58168
Apr-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,151536
Apr-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,147749
Apr-19,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,104233
Apr-19,"Halifax/Robert L Stanfield International, Nova Scotia",Transborder sector passengers,20740
Apr-19,"Halifax/Robert L Stanfield International, Nova Scotia",Other International sector passengers,22776
Apr-19,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,3787
Apr-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,662834
Apr-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,654245
Apr-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,216634
Apr-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,183868
Apr-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,253743
Apr-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,8589
Apr-19,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,200898
Apr-19,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,196944
Apr-19,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,149183
Apr-19,"Ottawa/Macdonald-Cartier International, Ontario",Transborder sector passengers,33993
Apr-19,"Ottawa/Macdonald-Cartier International, Ontario",Other International sector passengers,13768
Apr-19,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,3954
Apr-19,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,1667132
Apr-19,"Toronto/Lester B Pearson International, Ontario",Total passengers,1648553
Apr-19,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,486006
Apr-19,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,598998
Apr-19,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,563549
Apr-19,"Toronto/Lester B Pearson International, Ontario",Non-passengers,18579
Apr-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,149232
Apr-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,147822
Apr-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,124901
Apr-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,20276
Apr-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Other International sector passengers,2645
Apr-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,1410
Apr-19,"Calgary International, Alberta",Total screened traffic,499934
Apr-19,"Calgary International, Alberta",Total passengers,494840
Apr-19,"Calgary International, Alberta",Domestic sector passengers,291998
Apr-19,"Calgary International, Alberta",Transborder sector passengers,141985
Apr-19,"Calgary International, Alberta",Other International sector passengers,60857
Apr-19,"Calgary International, Alberta",Non-passengers,5094
Apr-19,"Edmonton International, Alberta",Total screened traffic,284077
Apr-19,"Edmonton International, Alberta",Total passengers,277843
Apr-19,"Edmonton International, Alberta",Domestic sector passengers,212260
Apr-19,"Edmonton International, Alberta",Transborder sector passengers,43179
Apr-19,"Edmonton International, Alberta",Other International sector passengers,22404
Apr-19,"Edmonton International, Alberta",Non-passengers,6234
Apr-19,"Vancouver International, British Columbia",Total screened traffic,817258
Apr-19,"Vancouver International, British Columbia",Total passengers,806737
Apr-19,"Vancouver International, British Columbia",Domestic sector passengers,352170
Apr-19,"Vancouver International, British Columbia",Transborder sector passengers,257382
Apr-19,"Vancouver International, British Columbia",Other International sector passengers,197185
Apr-19,"Vancouver International, British Columbia",Non-passengers,10521
May-19,"Total of eight largest airports, Canada",Total screened traffic,4564129
May-19,"Total of eight largest airports, Canada",Total passengers,4488419
May-19,"Total of eight largest airports, Canada",Domestic sector passengers,2179135
May-19,"Total of eight largest airports, Canada",Transborder sector passengers,1197118
May-19,"Total of eight largest airports, Canada",Other International sector passengers,1112166
May-19,"Total of eight largest airports, Canada",Non-passengers,75710
May-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,150601
May-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,145870
May-19,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,126177
May-19,"Halifax/Robert L Stanfield International, Nova Scotia",Transborder sector passengers,11352
May-19,"Halifax/Robert L Stanfield International, Nova Scotia",Other International sector passengers,8341
May-19,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,4731
May-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,686843
May-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,668708
May-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,244847
May-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,174471
May-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,249390
May-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,18135
May-19,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,208547
May-19,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,204724
May-19,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,168695
May-19,"Ottawa/Macdonald-Cartier International, Ontario",Transborder sector passengers,27518
May-19,"Ottawa/Macdonald-Cartier International, Ontario",Other International sector passengers,8511
May-19,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,3823
May-19,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,1712568
May-19,"Toronto/Lester B Pearson International, Ontario",Total passengers,1689469
May-19,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,565176
May-19,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,551090
May-19,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,573203
May-19,"Toronto/Lester B Pearson International, Ontario",Non-passengers,23099
May-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,164069
May-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,162665
May-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,145719
May-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,16946
May-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,1404
May-19,"Calgary International, Alberta",Total screened traffic,482084
May-19,"Calgary International, Alberta",Total passengers,477236
May-19,"Calgary International, Alberta",Domestic sector passengers,300993
May-19,"Calgary International, Alberta",Transborder sector passengers,131803
May-19,"Calgary International, Alberta",Other International sector passengers,44440
May-19,"Calgary International, Alberta",Non-passengers,4848
May-19,"Edmonton International, Alberta",Total screened traffic,284946
May-19,"Edmonton International, Alberta",Total passengers,279249
May-19,"Edmonton International, Alberta",Domestic sector passengers,234144
May-19,"Edmonton International, Alberta",Transborder sector passengers,33950
May-19,"Edmonton International, Alberta",Other International sector passengers,11155
May-19,"Edmonton International, Alberta",Non-passengers,5697
May-19,"Vancouver International, British Columbia",Total screened traffic,874471
May-19,"Vancouver International, British Columbia",Total passengers,860498
May-19,"Vancouver International, British Columbia",Domestic sector passengers,393384
May-19,"Vancouver International, British Columbia",Transborder sector passengers,249988
May-19,"Vancouver International, British Columbia",Other International sector passengers,217126
May-19,"Vancouver International, British Columbia",Non-passengers,13973
Jun-19,"Total of eight largest airports, Canada",Total screened traffic,4935206
Jun-19,"Total of eight largest airports, Canada",Total passengers,4861329
Jun-19,"Total of eight largest airports, Canada",Domestic sector passengers,2319666
Jun-19,"Total of eight largest airports, Canada",Transborder sector passengers,1275632
Jun-19,"Total of eight largest airports, Canada",Other International sector passengers,1266031
Jun-19,"Total of eight largest airports, Canada",Non-passengers,73877
Jun-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,159287
Jun-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,154652
Jun-19,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,132948
Jun-19,"Halifax/Robert L Stanfield International, Nova Scotia",Transborder sector passengers,14756
Jun-19,"Halifax/Robert L Stanfield International, Nova Scotia",Other International sector passengers,6948
Jun-19,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,4635
Jun-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,804206
Jun-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,784490
Jun-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,260343
Jun-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,188808
Jun-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,335339
Jun-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,19716
Jun-19,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,211840
Jun-19,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,208372
Jun-19,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,172881
Jun-19,"Ottawa/Macdonald-Cartier International, Ontario",Transborder sector passengers,24744
Jun-19,"Ottawa/Macdonald-Cartier International, Ontario",Other International sector passengers,10747
Jun-19,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,3468
Jun-19,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,1795927
Jun-19,"Toronto/Lester B Pearson International, Ontario",Total passengers,1775622
Jun-19,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,602571
Jun-19,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,570332
Jun-19,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,602719
Jun-19,"Toronto/Lester B Pearson International, Ontario",Non-passengers,20305
Jun-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,172793
Jun-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,171416
Jun-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,153958
Jun-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,17075
Jun-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Other International sector passengers,383
Jun-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,1377
Jun-19,"Calgary International, Alberta",Total screened traffic,544298
Jun-19,"Calgary International, Alberta",Total passengers,538962
Jun-19,"Calgary International, Alberta",Domestic sector passengers,335286
Jun-19,"Calgary International, Alberta",Transborder sector passengers,151598
Jun-19,"Calgary International, Alberta",Other International sector passengers,52078
Jun-19,"Calgary International, Alberta",Non-passengers,5336
Jun-19,"Edmonton International, Alberta",Total screened traffic,288755
Jun-19,"Edmonton International, Alberta",Total passengers,282120
Jun-19,"Edmonton International, Alberta",Domestic sector passengers,245414
Jun-19,"Edmonton International, Alberta",Transborder sector passengers,29032
Jun-19,"Edmonton International, Alberta",Other International sector passengers,7674
Jun-19,"Edmonton International, Alberta",Non-passengers,6635
Jun-19,"Vancouver International, British Columbia",Total screened traffic,958100
Jun-19,"Vancouver International, British Columbia",Total passengers,945695
Jun-19,"Vancouver International, British Columbia",Domestic sector passengers,416265
Jun-19,"Vancouver International, British Columbia",Transborder sector passengers,279287
Jun-19,"Vancouver International, British Columbia",Other International sector passengers,250143
Jun-19,"Vancouver International, British Columbia",Non-passengers,12405
Jul-19,"Total of eight largest airports, Canada",Total screened traffic,5516164
Jul-19,"Total of eight largest airports, Canada",Total passengers,5421895
Jul-19,"Total of eight largest airports, Canada",Domestic sector passengers,2544723
Jul-19,"Total of eight largest airports, Canada",Transborder sector passengers,1461996
Jul-19,"Total of eight largest airports, Canada",Other International sector passengers,1415176
Jul-19,"Total of eight largest airports, Canada",Non-passengers,94269
Jul-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,186827
